Character;speech
aunt marge;still, say, ungrateful, way, damn, good, brother, keep, straight, orphanage, dumped, doorstep, dudders, little, give, u, kiss, finish, mommy, good, boy, small, one, excellent, nosh, petunia, bit, usually, dog, bit, boy, wan, na, try, little, drop, brandy, little, drop, smirking, send, boy, vernon, use, cane, brutus, boy, excellent, wo, nonsense, beating, people, deserve, must, blame, one, turned, blood, bad, blood, boy, father, petunia, drunk, doubt, say, worry, fuss, petunia, firm, grip, quiet, vernon, clean, actually, nothing, father, mother, time, dog, something, wrong, bitch, something, wrong, pup, right, let, tell, vernon, vernon, vernon, something, dare
aunt petunia;harry, harry, harry, open, door, marge, lovely, nothing, work, unemployed, oh, vernon
bem;grin, idiot, grim, taking, form, giant, spectral, dog, among, darkest, omen, world, omen, death, doe, fly, right, black, could, anywhere, like, trying, catch, smoke, like, trying, catch, smoke, bare, hand
boy;dementors, every, entrance, delicious
boy 1;harry
boy 2;yeah, let
class;riddikulus, riddikulus
crabbe;malfoy, wait, wait
crowd;gryffindor
dean;oh, god, call, monkey, boggart
draco;potter, true, fainted, mean, actually, fainted, exactly, wimp, longbottom, oh, yeah, terribly, funny, witty, god, place, gone, dog, wait, father, hears, dumbledore, oaf, teaching, class, dementor, dementor, oh, please, dangerous, great, ugly, brute, killed, gon, na, regret, bloody, chicken, still, consider, lucky, madam, pomfrey, said, another, minute, could, lost, arm, ca, homework, week, class, ridiculous, well, well, look, two, shopping, new, dream, home, bit, grand, family, sleep, one, room, friendly, boy, think, time, teach, respect, superior, dare, talk, filthy, little, mudblood, stand, something, way, move, say, father, said, keep, hippogriff, head, donate, gryffindors, room, going, rich, show, word, anyone, understood, show, word, anyone, understood, gon, na, mudblood, mark, word
dumbledore;welcome, welcome, another, year, hogwarts, like, say, word, become, befuddled, excellent, feast, first, pleased, welcome, professor, lupin, kindly, consented, fill, post, defense, dark, art, teacher, good, luck, professor, care, magical, creature, teacher, decided, retire, order, spend, time, remaining, limb, fortunately, delighted, announce, place, taken, none, rubeus, hagrid, finally, disquieting, note, request, ministry, magic, hogwarts, notice, play, host, dementors, azkaban, time, sirius, black, captured, dementors, stationed, every, entrance, ground, whilst, assured, presence, disrupt, activity, word, caution, dementors, vicious, creature, distinguish, one, hunt, one, way, therefore, must, warn, every, one, give, reason, harm, nature, dementor, forgiving, happiness, found, even, darkest, time, one, remembers, turn, light, filch, round, ghost, tell, search, every, painting, castle, find, fat, lady, keep, moving, dear, lady, secure, castle, filch, rest, great, hall, thank, good, really, expect, linger, quite, remarkable, many, unlikely, next, single, professor, inside, castle, would, help, sirius, black, enter, quite, convinced, castle, safe, willing, send, student, house, perhaps, let, sleep, dream, enter, world, entirely, let, swim, deepest, ocean, glide, highest, cloud, aresto, momentum, minister, way, ling, slope, ah, hagrid, good, evening, like, cup, tea, hagrid, right, right, scabbers, miss, granger, word, three, wizard, convince, others, child, voice, however, honest, true, meaningless, forgotten, listen, mysterious, thing, time, powerful, meddled, dangerous, sirius, black, topmost, cell, dark, tower, law, miss, granger, must, seen, would, well, feel, return, last, chime, consequence, ghastly, discus, succeed, tonight, one, innocent, life, may, spared, three, turn, think, oh, way, doubt, find, retracing, step, wise, place, begin, good, luck, minister, really, think, sign, well, long, name, minister, follow, look, look, beyond, rock, professor, dippet, ling, planted, headmaster, strawberry, , right, extraordinary, think, minister, suggesting, anything, afterall, could, u, time, well, search, sky, must, minister, meanwhile, like, nice, cup, tea, large, brandy, oh, executioner, service, longer, required, thank, well, good, night
fat lady;wait, wait, watch, amazing, voice, right, eye, like, devil, soul, dark, name, headmaster, one, talk, somewhere, castle, sirius, black
filch;permission, follow, without, stay, put, move, need, ghost, professor, fat, lady, searched, astronomy, tower, owlery, nothing
fred;unless, count, tom, night, maid, bloke, fixed, toilet, peaky, expect, fell, foot, clever, harry, better, way, pipe, bless, harry, secret, success, decided, need, greater, george, dumbledore, pacing, everyone, every, day, filch, office, first, year, witch, passageway, hurry, filch, heading, way, fastest, broom, world, mischief, managed, otherwise, anyone, read, 
fudge;minister, magic, duty, inform, potter, earlier, evening, uncle, sister, located, little, south, sheffield, circling, chimney, stack, accidental, magic, reversal, department, dispatched, immediately, properly, punctured, memory, modified, recollection, incident, whatsoever, harm, done, pea, soup, understand, harry, ministry, doe, send, people, azkaban, blowing, aunt, hand, running, away, like, given, state, thing, irresponsible, killer, loose, nothing, course, safe, matter, tomorrow, way, back, hogwarts, new, schoolbook, took, liberty, brought, tom, show, room, oh, way, harry, whilst, would, best, wander, professor, mcgonagall, oh, hagrid, rosmerta, dear, hope, business, good, killer, loose, harry, potter, shh, black, lead, potter, night, also, killed, one, friend, peter, pettigrew, black, vicious, kill, pettigrew, destroyed, finger, left, finger, nothing, else, want, finish, started, worst, black, vicious, kill, pettigrew, destroyed, slope, hagrid, well, think, business, shall, well, decision, committee, disposal, dangerous, creature, hippogriff, buckbeak, called, condemned, shall, executed, day, sundown, execution, shall, dispatch, well, perhaps, would, name, supposed, oh, indeed, indeed, strawberry, let, please, saw, beast, moment, ago, dumbledore, someone, obviously, released, hagrid, well, well, must, search, ground
george;mischief, managed, otherwise, anyone, read, flashing, clipping, soul, day, maid, cook, let, walk, tower, look, like, gave, u, right, good, scare, clever, enough, show, quicker, way, join, big, boy, rubbish, say, wrench, giving, solemnly, swear, good, owe, much, study, doe, lot, every, minute, seven, secret, passageway, castle, recommend, one, lead, straight, honeyduke, oh, harry, forget, done, give, tap, say, firebolt
ginny;fat, lady, gone
goyle;look, malfoy, okay, let, quick, run
